Left_distance_reading, Front_distance_reading, Left_motor_speed, Right_motor_speed
719.401,2829.55,115,184.221
718.808,2815.01,115,184.069
718.669,2799.12,115,184.033
718.644,2825.14,115,184.026
710.543,3337.39,115,181.945
709.868,3370.82,115,181.772
710.262,3391.32,115,181.873
701.556,3404.37,115,179.636
701.649,3389.12,115,179.66
699.781,3378.5,115,179.18
701.47,1560.14,115,179.614
699.71,1491.82,115,179.162
701.47,1478.33,115,179.614
691.589,1385.48,115,177.075
690.706,1372.72,115,176.848
687.465,1322.17,115,176.015
678.388,1278.76,115,173.683
688.021,1234.4,115,176.158
678.761,1190.59,115,173.779
669.533,1160.1,116.381,170.118
668.157,1125.68,121.198,165.304
668.812,1082.84,127.148,159.916
660.891,1071.57,129.06,156.589
658.769,1017.95,136.826,149.283
651.809,995.805,140.524,144.948
650.602,962.13,145.536,140.485
615.278,936.125,152.978,129.925
611.233,927.458,154.808,128.081
601.695,921.162,156.882,125.403
602.448,929.62,155.389,126.522
599.598,934.443,154.881,126.482
593.401,938.559,154.824,125.662
578.114,956.759,153.154,124.471
572.651,942.811,156.181,121.808
570.726,936.972,157.429,120.778
566.719,936.685,157.894,119.916
558.841,952.802,155.708,119.975
555.455,967.451,153.284,120.791
546.392,970.128,153.582,119.127
543.063,979.355,152.093,119.353
534.491,987.338,151.241,118.298
531.131,1010.97,146.813,119.918
522.215,1022.91,145.017,119.096
520.967,1028.18,144.024,119.329
517.408,1024.05,145.097,118.122
518.566,1040.69,141.611,120
515.007,1035.36,142.918,118.669
512.361,1022.96,145.648,116.878
503.469,2799.86,115,128.739
503.207,2791.16,115,128.671
499.212,2780.85,115,127.645
496.248,2759,115,126.883
494.409,2759.53,115,126.411
493.988,2750.25,115,126.302
488.25,2723.31,115,124.828
477.607,2719.63,115,122.093
483.811,2718.9,115,123.688
479.037,2710.11,115,122.461
478.269,2692.63,115,122.263
471.194,2687.05,115,120.446
470.226,2666.18,115,120.197
467.175,2639.11,115,119.413
457.503,2628.32,115,116.928
458.544,2616.06,115,117.195
451.823,2612.41,115,115.468
451.637,2595.84,115,115.421
448.015,2565.32,115,115
443.646,2563.82,115,115
442.15,2546.46,115,115
437.736,2524.73,115,115
436.137,2512.62,115,115
435.314,2516.54,115,115
435.475,2518.98,115,115
431.646,2508.62,115,115
425.957,2501.81,115,115
427.971,2494.79,115,115
420.323,2475.62,115,115
415.36,2470.61,115,115
413.159,2458.54,115,115
419.378,2437.12,115,115
413.717,2432.46,115,115
413.717,2421.28,115,115
401.216,2412.77,115,115
406.675,2398.46,115,115
397.42,2399.42,116.193,115
400.29,2381.84,115,115
398.264,2363.03,115.803,115
391.64,2354.17,118.867,115
391.48,2336.11,118.941,115
386.64,2326.85,121.179,115
386.974,2311.06,121.025,115
379.09,2311.4,124.671,115
380.208,2301.02,124.154,115
378.146,2284.7,125.107,115
368.206,2235.62,129.705,115
366.545,2233.05,130.473,115
360.607,2233.05,133.219,115
362.216,2210.68,132.475,115
355.73,2200.86,135.475,115
356.398,2186.07,135.166,115
349.793,2164.81,138.221,115
344.026,2159.96,140.888,115
339.388,2140.8,143.033,115
336.358,2264.03,144.435,115
333.49,2286.68,145.761,115
328.584,2273.67,148.03,115
328.544,2219.95,148.049,115
333.202,2252.81,145.894,115
323.841,2416.19,150.223,115
323.312,2488.18,150.468,115
322.986,2467.56,150.619,115
315.624,2445.34,154.024,115
312.826,2433.53,155.318,115
310.489,2417.44,156.399,115
306.927,2395.66,158.046,115
301.649,2368.29,160.487,115
300.163,2340.5,161.175,115
297.949,2307.87,162.198,115
302.119,2311.74,160.27,115
287.413,2285.35,167.071,115
300.556,2264.88,160.993,115
294.536,2240.21,163.777,115
354.246,2220.25,136.161,115
574.967,2203.09,115,147.11
839.47,2167.37,115,215.072
833.545,2151.73,115,213.55
832.293,2148.82,115,213.228
830.615,2164.96,115,212.797
826.913,2177.4,115,211.846
825.544,2171.44,115,211.494
811.501,2189.79,115,207.886
812.399,2211.44,115,208.116
812.852,2213.5,115,208.233
808.499,2231.84,115,207.114
809.91,1861.08,115,207.477
802.485,1822.02,115,205.569
802.626,1710.78,115,205.605
799.078,1702.6,115,204.694
773.676,1721.44,115,198.167
781.934,1656.3,115,200.288
767.221,1679.08,115,196.508
767.983,1620.61,115,196.704
754.978,1686.87,115,193.362
754.806,1671.39,115,193.318
741.015,1530.39,115,189.775
739.389,1514.58,115,189.357
745.097,1539.04,115,190.824
742.59,1498.58,115,190.179
738.483,1497.71,115,189.124
741.557,1480.75,115,189.914
735.435,1452.51,115,188.341
725.589,1430.37,115,185.811
725.051,1410.16,115,185.673
716.845,1375.59,115,183.564
714.897,1378.07,115,183.064
713.003,1376.54,115,182.577
703.435,1355.87,115,180.119
697.669,1332.97,115,178.637
694.098,1325.57,115,177.72
690.673,1307.55,115,176.84
685.644,1292.75,115,175.547
674.751,1273.29,115,172.749
674.348,1265.25,115,172.645
669.269,1258.85,115,171.34
664.051,1233.02,115,169.999
653.31,1221.39,115,167.239
647.738,1190.98,115,165.808
643.377,1183.55,115,164.687
640.078,1182.93,115,163.84
642.905,1168.9,115.166,164.429
626.524,1152.15,117.829,158.197
627.919,1114.63,123.731,154.008
622.379,1124.64,122.267,153.849
615.682,1097.62,126.801,148.997
611.62,1094.7,127.413,147.673
604.266,1073.61,131.192,143.463
601.587,1064.52,132.839,141.784
597.508,1050.7,135.384,139.252
595.715,1041.74,137.011,137.819
592.996,1022.76,140.43,135.051
585.118,1001.95,144.591,130.962
581.247,987.687,147.4,128.536
579.593,972.259,150.269,126.482
579.173,961.694,152.18,125.235
579.497,947.686,154.63,123.771
576.164,931.679,157.813,121.332
574.669,915.748,160.82,119.298
574.669,901.371,163.389,117.744
